# gnuplot data for packet timing
# ts	local_ts	difference
1383087274166	1383087273866	300
1383087274176	1383087273875	301
1383087274186	1383087273885	301
1383087274196	1383087273895	301
1383087274206	1383087273906	300
1383087274216	1383087273915	301
1383087274226	1383087273925	301
1383087274236	1383087273936	300
1383087274246	1383087273945	301
1383087274256	1383087273955	301
1383087274266	1383087273965	301
1383087274276	1383087273975	301
1383087274286	1383087273985	301
1383087274296	1383087273995	301
1383087274306	1383087274005	301
1383087274316	1383087274016	300
1383087274326	1383087274025	301
1383087274336	1383087274035	301
1383087274346	1383087274045	301
1383087274356	1383087274055	301
1383087274366	1383087274065	301
1383087274376	1383087274075	301
1383087274386	1383087274085	301
1383087274396	1383087274095	301
1383087274406	1383087274105	301
1383087274416	1383087274115	301
1383087274426	1383087274125	301
1383087274436	1383087274135	301
1383087274446	1383087274145	301
1383087274456	1383087274155	301
1383087274466	1383087274166	300
1383087274476	1383087274175	301
1383087274486	1383087274185	301
1383087274496	1383087274196	300
1383087274506	1383087274205	301
1383087274516	1383087274216	300
1383087274526	1383087274225	301
1383087274536	1383087274235	301
1383087274546	1383087274246	300
1383087274556	1383087274255	301
1383087274566	1383087274265	301
1383087274576	1383087274275	301
1383087274586	1383087274285	301
1383087274596	1383087274295	301
1383087274606	1383087274305	301
1383087274616	1383087274315	301
1383087274626	1383087274325	301
1383087274636	1383087274336	300
1383087274646	1383087274345	301
1383087274656	1383087274355	301
1383087274666	1383087274366	300
1383087274676	1383087274375	301
1383087274686	1383087274385	301
1383087274696	1383087274396	300
1383087274706	1383087274405	301
1383087274716	1383087274416	300
1383087274726	1383087274425	301
1383087274736	1383087274435	301
1383087274746	1383087274446	300
1383087274756	1383087274455	301
1383087274766	1383087274466	300
1383087274776	1383087274475	301
1383087274786	1383087274485	301
1383087274796	1383087274496	300
1383087274806	1383087274505	301
1383087274816	1383087274516	300
1383087274826	1383087274525	301
1383087274836	1383087274535	301
1383087274846	1383087274545	301
1383087274856	1383087274555	301
1383087274866	1383087274566	300
1383087274876	1383087274575	301
1383087274886	1383087274585	301
1383087274896	1383087274595	301
1383087274906	1383087274605	301
1383087274916	1383087274615	301
1383087274926	1383087274626	300
1383087274936	1383087274635	301
1383087274946	1383087274646	300
1383087274956	1383087274655	301
1383087274966	1383087274665	301
1383087274976	1383087274676	300
1383087274986	1383087274685	301
1383087274996	1383087274695	301
1383087275006	1383087274706	300
1383087275016	1383087274715	301
1383087275026	1383087274725	301
1383087275036	1383087274736	300
1383087275046	1383087274745	301
1383087275056	1383087274755	301
1383087275066	1383087274766	300
1383087275076	1383087274775	301
1383087275086	1383087274785	301
1383087275096	1383087274795	301
1383087275106	1383087274805	301
1383087275116	1383087274815	301
1383087275126	1383087274826	300
1383087275136	1383087274835	301
1383087275146	1383087274845	301
1383087275156	1383087274856	300
1383087275166	1383087274865	301
1383087275176	1383087274875	301
1383087275186	1383087274885	301
1383087275196	1383087274895	301
1383087275206	1383087274905	301
1383087275216	1383087274916	300
1383087275226	1383087274925	301
1383087275236	1383087274935	301
1383087275246	1383087274946	300
1383087275256	1383087274955	301
1383087275266	1383087274965	301
1383087275276	1383087274976	300
1383087275286	1383087274985	301
1383087275296	1383087274996	300
1383087275306	1383087275005	301
1383087275316	1383087275015	301
1383087275326	1383087275026	300
1383087275336	1383087275035	301
1383087275346	1383087275045	301
1383087275356	1383087275055	301
1383087275366	1383087275065	301
1383087275376	1383087275075	301
1383087275386	1383087275085	301
1383087275396	1383087275095	301
1383087275406	1383087275105	301
1383087275416	1383087275115	301
1383087275426	1383087275125	301
1383087275436	1383087275135	301
1383087275446	1383087275145	301
1383087275456	1383087275155	301
1383087275466	1383087275165	301
1383087275476	1383087275175	301
1383087275486	1383087275185	301
1383087275496	1383087275195	301
1383087275506	1383087275205	301
1383087275516	1383087275215	301
1383087275526	1383087275225	301
1383087275536	1383087275235	301
1383087275546	1383087275246	300
1383087275556	1383087275265	291
1383087275566	1383087275275	291
1383087275576	1383087275285	291
1383087275586	1383087275295	291
1383087275596	1383087275305	291
1383087275606	1383087275316	290
1383087275616	1383087275326	290
1383087275626	1383087275335	291
1383087275636	1383087275345	291
1383087275646	1383087275355	291
1383087275656	1383087275365	291
1383087275666	1383087275375	291
1383087275676	1383087275385	291
1383087275686	1383087275395	291
1383087275696	1383087275405	291
1383087275706	1383087275415	291
1383087275716	1383087275425	291
1383087275726	1383087275435	291
1383087275736	1383087275445	291
1383087275746	1383087275455	291
1383087275756	1383087275465	291
1383087275766	1383087275475	291
1383087275776	1383087275485	291
1383087275786	1383087275495	291
1383087275796	1383087275505	291
1383087275806	1383087275515	291
1383087275816	1383087275525	291
1383087275826	1383087275535	291
1383087275836	1383087275545	291
1383087275846	1383087275555	291
1383087275856	1383087275565	291
1383087275866	1383087275576	290
1383087275876	1383087275585	291
1383087275886	1383087275595	291
1383087275896	1383087275605	291
1383087275906	1383087275616	290
1383087275916	1383087275625	291
1383087275926	1383087275635	291
1383087275936	1383087275646	290
1383087275946	1383087275655	291
1383087275956	1383087275666	290
1383087275966	1383087275676	290
1383087275976	1383087275685	291
1383087275986	1383087275695	291
1383087275996	1383087275706	290
1383087276006	1383087275715	291
1383087276016	1383087275725	291
1383087276026	1383087275735	291
1383087276036	1383087275746	290
1383087276046	1383087275755	291
1383087276056	1383087275765	291
1383087276066	1383087275776	290
1383087276076	1383087275785	291
1383087276086	1383087275795	291
1383087276096	1383087275805	291
1383087276106	1383087275815	291
1383087276116	1383087275825	291
1383087276126	1383087275836	290
1383087276136	1383087275845	291
1383087276146	1383087275855	291
1383087276156	1383087275865	291
1383087276166	1383087275876	290
1383087276176	1383087275885	291
1383087276186	1383087275895	291
1383087276196	1383087275905	291
1383087276206	1383087275915	291
1383087276216	1383087275925	291
1383087276226	1383087275935	291
1383087276236	1383087275945	291
1383087276246	1383087275956	290
1383087276256	1383087275965	291
1383087276266	1383087275975	291
1383087276276	1383087275985	291
1383087276286	1383087275995	291
1383087276296	1383087276005	291
1383087276306	1383087276015	291
1383087276316	1383087276025	291
1383087276326	1383087276035	291
1383087276336	1383087276045	291
1383087276346	1383087276056	290
1383087276356	1383087276065	291
1383087276366	1383087276075	291
1383087276376	1383087276085	291
1383087276386	1383087276095	291
1383087276396	1383087276106	290
1383087276406	1383087276115	291
1383087276416	1383087276125	291
1383087276426	1383087276135	291
1383087276436	1383087276145	291
1383087276446	1383087276155	291
1383087276456	1383087276165	291
1383087276466	1383087276176	290
1383087276476	1383087276185	291
1383087276486	1383087276195	291
1383087276496	1383087276205	291
1383087276506	1383087276215	291
1383087276516	1383087276226	290
1383087276526	1383087276235	291
1383087276536	1383087276245	291
