# gnuplot data for packet timing
# ts	local_ts	difference
1383087273864	1383087274187	323
1383087273874	1383087274197	323
1383087273884	1383087274207	323
1383087273894	1383087274217	323
1383087273904	1383087274227	323
1383087273914	1383087274237	323
1383087273924	1383087274247	323
1383087273934	1383087274257	323
1383087273944	1383087274267	323
1383087273954	1383087274277	323
1383087273964	1383087274287	323
1383087273974	1383087274297	323
1383087273984	1383087274307	323
1383087273994	1383087274317	323
1383087274004	1383087274327	323
1383087274014	1383087274337	323
1383087274024	1383087274347	323
1383087274034	1383087274357	323
1383087274044	1383087274367	323
1383087274054	1383087274377	323
1383087274064	1383087274387	323
1383087274074	1383087274397	323
1383087274084	1383087274407	323
1383087274094	1383087274417	323
1383087274104	1383087274427	323
1383087274114	1383087274437	323
1383087274124	1383087274447	323
1383087274134	1383087274457	323
1383087274144	1383087274467	323
1383087274154	1383087274477	323
1383087274164	1383087274487	323
1383087274174	1383087274497	323
1383087274184	1383087274507	323
1383087274194	1383087274517	323
1383087274204	1383087274527	323
1383087274214	1383087274537	323
1383087274224	1383087274547	323
1383087274234	1383087274557	323
1383087274244	1383087274567	323
1383087274254	1383087274577	323
1383087274264	1383087274586	322
1383087274274	1383087274597	323
1383087274284	1383087274607	323
1383087274294	1383087274617	323
1383087274304	1383087274627	323
1383087274314	1383087274637	323
1383087274324	1383087274647	323
1383087274334	1383087274657	323
1383087274344	1383087274667	323
1383087274354	1383087274677	323
1383087274364	1383087274687	323
1383087274374	1383087274697	323
1383087274384	1383087274707	323
1383087274394	1383087274717	323
1383087274404	1383087274727	323
1383087274414	1383087274737	323
1383087274424	1383087274747	323
1383087274434	1383087274757	323
1383087274444	1383087274767	323
1383087274454	1383087274777	323
1383087274464	1383087274787	323
1383087274474	1383087274797	323
1383087274484	1383087274807	323
1383087274495	1383087274817	322
1383087274504	1383087274827	323
1383087274514	1383087274837	323
1383087274524	1383087274847	323
1383087274534	1383087274857	323
1383087274544	1383087274867	323
1383087274554	1383087274877	323
1383087274564	1383087274887	323
1383087274574	1383087274897	323
1383087274584	1383087274907	323
1383087274594	1383087274917	323
1383087274604	1383087274927	323
1383087274614	1383087274937	323
1383087274624	1383087274947	323
1383087274634	1383087274957	323
1383087274645	1383087274967	322
1383087274654	1383087274977	323
1383087274664	1383087274987	323
1383087274674	1383087274997	323
1383087274684	1383087275007	323
1383087274694	1383087275017	323
1383087274704	1383087275027	323
1383087274714	1383087275037	323
1383087274724	1383087275047	323
1383087274734	1383087275057	323
1383087274744	1383087275067	323
1383087274754	1383087275077	323
1383087274764	1383087275087	323
1383087274774	1383087275097	323
1383087274784	1383087275107	323
1383087274794	1383087275117	323
1383087274804	1383087275127	323
1383087274814	1383087275137	323
1383087274824	1383087275147	323
1383087274834	1383087275157	323
1383087274844	1383087275167	323
1383087274854	1383087275177	323
1383087274864	1383087275187	323
1383087274874	1383087275197	323
1383087274884	1383087275207	323
1383087274894	1383087275217	323
1383087274904	1383087275227	323
1383087274914	1383087275237	323
1383087274924	1383087275247	323
1383087274934	1383087275257	323
1383087274944	1383087275267	323
1383087274954	1383087275277	323
1383087274964	1383087275287	323
1383087274974	1383087275297	323
1383087274984	1383087275307	323
1383087274994	1383087275317	323
1383087275004	1383087275327	323
1383087275014	1383087275337	323
1383087275024	1383087275357	333
1383087275034	1383087275367	333
1383087275044	1383087275377	333
1383087275054	1383087275387	333
1383087275064	1383087275397	333
1383087275074	1383087275407	333
1383087275084	1383087275417	333
1383087275094	1383087275427	333
1383087275104	1383087275437	333
1383087275114	1383087275447	333
1383087275124	1383087275457	333
1383087275134	1383087275467	333
1383087275144	1383087275477	333
1383087275154	1383087275487	333
1383087275164	1383087275497	333
1383087275174	1383087275507	333
1383087275184	1383087275517	333
1383087275194	1383087275527	333
1383087275204	1383087275537	333
1383087275214	1383087275547	333
1383087275224	1383087275557	333
1383087275234	1383087275567	333
1383087275244	1383087275577	333
1383087275254	1383087275587	333
1383087275264	1383087275597	333
1383087275274	1383087275607	333
1383087275284	1383087275617	333
1383087275294	1383087275627	333
1383087275304	1383087275647	343
1383087275315	1383087275657	342
1383087275324	1383087275667	343
1383087275334	1383087275677	343
1383087275344	1383087275687	343
1383087275354	1383087275697	343
1383087275364	1383087275707	343
1383087275374	1383087275717	343
1383087275384	1383087275727	343
1383087275394	1383087275737	343
1383087275404	1383087275747	343
1383087275414	1383087275757	343
1383087275424	1383087275767	343
1383087275434	1383087275777	343
1383087275444	1383087275787	343
1383087275454	1383087275797	343
1383087275464	1383087275807	343
1383087275474	1383087275817	343
1383087275484	1383087275827	343
1383087275494	1383087275837	343
1383087275504	1383087275847	343
1383087275514	1383087275857	343
1383087275524	1383087275867	343
1383087275534	1383087275877	343
1383087275544	1383087275887	343
1383087275554	1383087275897	343
1383087275564	1383087275907	343
1383087275574	1383087275917	343
1383087275584	1383087275927	343
1383087275594	1383087275937	343
1383087275604	1383087275947	343
1383087275614	1383087275957	343
1383087275624	1383087275967	343
1383087275634	1383087275977	343
1383087275644	1383087275987	343
1383087275654	1383087275997	343
1383087275664	1383087276007	343
1383087275674	1383087276017	343
1383087275684	1383087276027	343
1383087275694	1383087276037	343
1383087275704	1383087276047	343
1383087275714	1383087276057	343
1383087275724	1383087276067	343
1383087275734	1383087276077	343
1383087275744	1383087276087	343
1383087275754	1383087276097	343
1383087275764	1383087276107	343
1383087275774	1383087276117	343
1383087275784	1383087276127	343
1383087275794	1383087276137	343
1383087275804	1383087276147	343
1383087275814	1383087276157	343
1383087275824	1383087276167	343
1383087275834	1383087276177	343
1383087275844	1383087276187	343
1383087275854	1383087276197	343
1383087275864	1383087276207	343
1383087275874	1383087276217	343
1383087275884	1383087276227	343
1383087275894	1383087276237	343
1383087275904	1383087276247	343
1383087275914	1383087276257	343
1383087275924	1383087276267	343
1383087275934	1383087276277	343
1383087275944	1383087276287	343
1383087275954	1383087276297	343
1383087275964	1383087276307	343
1383087275974	1383087276317	343
1383087275984	1383087276327	343
1383087275994	1383087276337	343
1383087276004	1383087276347	343
1383087276014	1383087276357	343
1383087276024	1383087276367	343
1383087276034	1383087276377	343
1383087276044	1383087276387	343
1383087276054	1383087276397	343
1383087276064	1383087276407	343
1383087276074	1383087276417	343
1383087276084	1383087276427	343
1383087276094	1383087276437	343
1383087276104	1383087276447	343
1383087276114	1383087276457	343
1383087276124	1383087276467	343
1383087276134	1383087276477	343
1383087276144	1383087276487	343
1383087276154	1383087276497	343
1383087276164	1383087276507	343
1383087276174	1383087276517	343
1383087276184	1383087276527	343
1383087276194	1383087276537	343
1383087276204	1383087276547	343
1383087276214	1383087276557	343
1383087276224	1383087276567	343
1383087276234	1383087276577	343
1383087276244	1383087276587	343
1383087276254	1383087276597	343
1383087276264	1383087276607	343
1383087276274	1383087276617	343
1383087276284	1383087276627	343
1383087276295	1383087276637	342
1383087276304	1383087276647	343
1383087276314	1383087276657	343
1383087276324	1383087276667	343
1383087276334	1383087276677	343
1383087276344	1383087276687	343
1383087276354	1383087276697	343
1383087276364	1383087276707	343
1383087276374	1383087276717	343
1383087276384	1383087276727	343
1383087276394	1383087276737	343
1383087276404	1383087276747	343
1383087276414	1383087276757	343
1383087276424	1383087276767	343
1383087276434	1383087276777	343
1383087276444	1383087276787	343
1383087276454	1383087276797	343
1383087276464	1383087276807	343
1383087276474	1383087276817	343
1383087276484	1383087276827	343
1383087276494	1383087276837	343
1383087276504	1383087276847	343
1383087276514	1383087276857	343
1383087276524	1383087276867	343
1383087276534	1383087276877	343
1383087276544	1383087276887	343
1383087276554	1383087276897	343
1383087276564	1383087276907	343
1383087276574	1383087276917	343
1383087276584	1383087276927	343
1383087276594	1383087276937	343
1383087276604	1383087276947	343
1383087276614	1383087276957	343
1383087276624	1383087276967	343
1383087276634	1383087276977	343
1383087276644	1383087276987	343
1383087276654	1383087276997	343
1383087276664	1383087277007	343
1383087276674	1383087277017	343
1383087276684	1383087277027	343
1383087276694	1383087277037	343
1383087276704	1383087277047	343
1383087276714	1383087277057	343
1383087276724	1383087277067	343
1383087276734	1383087277077	343
1383087276744	1383087277087	343
1383087276754	1383087277097	343
1383087276764	1383087277107	343
1383087276774	1383087277117	343
1383087276784	1383087277127	343
1383087276794	1383087277137	343
1383087276804	1383087277147	343
1383087276814	1383087277157	343
1383087276824	1383087277167	343
1383087276834	1383087277177	343
1383087276844	1383087277187	343
1383087276854	1383087277197	343
1383087276864	1383087277207	343
1383087276874	1383087277217	343
1383087276884	1383087277227	343
1383087276894	1383087277237	343
1383087276904	1383087277247	343
1383087276914	1383087277257	343
1383087276924	1383087277267	343
1383087276934	1383087277277	343
1383087276944	1383087277287	343
1383087276954	1383087277297	343
1383087276964	1383087277307	343
1383087276974	1383087277317	343
1383087276984	1383087277327	343
1383087276994	1383087277337	343
1383087277004	1383087277347	343
1383087277014	1383087277357	343
1383087277024	1383087277367	343
1383087277034	1383087277377	343
1383087277044	1383087277387	343
1383087277054	1383087277397	343
1383087277064	1383087277407	343
1383087277074	1383087277417	343
1383087277084	1383087277427	343
1383087277094	1383087277437	343
1383087277104	1383087277447	343
1383087277114	1383087277457	343
1383087277124	1383087277467	343
1383087277134	1383087277477	343
1383087277144	1383087277487	343
1383087277154	1383087277497	343
1383087277164	1383087277507	343
1383087277174	1383087277517	343
1383087277184	1383087277527	343
1383087277194	1383087277537	343
1383087277204	1383087277547	343
1383087277214	1383087277557	343
1383087277224	1383087277567	343
1383087277234	1383087277577	343
1383087277244	1383087277587	343
1383087277254	1383087277597	343
1383087277264	1383087277607	343
1383087277274	1383087277617	343
1383087277284	1383087277627	343
1383087277294	1383087277637	343
1383087277304	1383087277647	343
1383087277314	1383087277657	343
1383087277324	1383087277667	343
1383087277334	1383087277677	343
1383087277344	1383087277687	343
1383087277354	1383087277697	343
1383087277364	1383087277707	343
1383087277374	1383087277717	343
1383087277384	1383087277727	343
1383087277394	1383087277737	343
1383087277404	1383087277747	343
1383087277414	1383087277757	343
1383087277424	1383087277767	343
1383087277434	1383087277777	343
1383087277444	1383087277787	343
1383087277454	1383087277797	343
1383087277464	1383087277807	343
1383087277474	1383087277817	343
1383087277484	1383087277827	343
1383087277494	1383087277837	343
1383087277504	1383087277847	343
1383087277514	1383087277857	343
1383087277524	1383087277867	343
1383087277534	1383087277877	343
1383087277544	1383087277887	343
1383087277554	1383087277897	343
1383087277564	1383087277907	343
1383087277574	1383087277917	343
1383087277584	1383087277927	343
1383087277594	1383087277937	343
1383087277604	1383087277947	343
1383087277614	1383087277957	343
1383087277624	1383087277967	343
1383087277634	1383087277977	343
1383087277644	1383087277987	343
1383087277654	1383087277997	343
1383087277664	1383087278007	343
1383087277674	1383087278017	343
1383087277684	1383087278027	343
1383087277694	1383087278037	343
1383087277704	1383087278047	343
1383087277714	1383087278057	343
1383087277724	1383087278067	343
1383087277734	1383087278077	343
1383087277744	1383087278087	343
1383087277754	1383087278097	343
1383087277764	1383087278107	343
1383087277774	1383087278117	343
1383087277784	1383087278127	343
1383087277794	1383087278137	343
1383087277804	1383087278147	343
1383087277814	1383087278157	343
1383087277824	1383087278167	343
1383087277834	1383087278177	343
1383087277844	1383087278187	343
1383087277854	1383087278197	343
1383087277864	1383087278207	343
1383087277874	1383087278217	343
1383087277884	1383087278227	343
1383087277894	1383087278237	343
1383087277904	1383087278247	343
1383087277914	1383087278257	343
1383087277924	1383087278267	343
1383087277934	1383087278277	343
1383087277944	1383087278287	343
1383087277954	1383087278297	343
1383087277964	1383087278307	343
1383087277974	1383087278317	343
1383087277984	1383087278327	343
1383087277994	1383087278337	343
1383087278004	1383087278347	343
1383087278014	1383087278357	343
1383087278024	1383087278367	343
1383087278034	1383087278377	343
1383087278044	1383087278387	343
1383087278054	1383087278397	343
1383087278064	1383087278407	343
1383087278074	1383087278417	343
1383087278084	1383087278427	343
1383087278094	1383087278437	343
1383087278104	1383087278447	343
1383087278114	1383087278457	343
1383087278124	1383087278467	343
1383087278134	1383087278477	343
1383087278144	1383087278487	343
1383087278154	1383087278497	343
1383087278164	1383087278507	343
1383087278174	1383087278517	343
1383087278184	1383087278527	343
1383087278194	1383087278537	343
1383087278204	1383087278547	343
1383087278214	1383087278557	343
1383087278224	1383087278567	343
1383087278234	1383087278577	343
1383087278244	1383087278587	343
1383087278254	1383087278597	343
1383087278264	1383087278607	343
1383087278274	1383087278617	343
1383087278284	1383087278627	343
1383087278294	1383087278637	343
1383087278304	1383087278647	343
1383087278314	1383087278657	343
1383087278324	1383087278667	343
1383087278334	1383087278677	343
1383087278344	1383087278687	343
1383087278354	1383087278697	343
1383087278364	1383087278707	343
1383087278374	1383087278717	343
1383087278384	1383087278727	343
1383087278394	1383087278737	343
1383087278404	1383087278747	343
1383087278414	1383087278757	343
1383087278424	1383087278767	343
1383087278434	1383087278777	343
1383087278444	1383087278787	343
1383087278454	1383087278797	343
1383087278464	1383087278807	343
1383087278474	1383087278817	343
1383087278484	1383087278827	343
1383087278494	1383087278837	343
