# gnuplot data for packet timing
# ts	local_ts	difference
1383087064363	1383087064051	312
1383087064373	1383087064061	312
1383087064383	1383087064072	311
1383087064393	1383087064081	312
1383087064403	1383087064091	312
1383087064413	1383087064102	311
1383087064423	1383087064112	311
1383087064433	1383087064122	311
1383087064443	1383087064132	311
1383087064453	1383087064141	312
1383087064463	1383087064151	312
1383087064473	1383087064161	312
1383087064483	1383087064173	310
1383087064493	1383087064182	311
1383087064503	1383087064191	312
1383087064513	1383087064201	312
1383087064523	1383087064211	312
1383087064533	1383087064221	312
1383087064543	1383087064231	312
1383087064553	1383087064241	312
1383087064563	1383087064252	311
1383087064573	1383087064261	312
1383087064583	1383087064290	293
1383087064593	1383087064290	303
1383087064603	1383087064293	310
1383087064613	1383087064302	311
1383087064623	1383087064349	274
1383087064633	1383087064350	283
1383087064643	1383087064353	290
1383087064653	1383087064354	299
1383087064663	1383087064357	306
1383087064673	1383087064361	312
1383087064683	1383087064372	311
1383087064693	1383087064381	312
1383087064703	1383087064391	312
1383087064713	1383087064401	312
1383087064723	1383087064412	311
1383087064733	1383087064421	312
1383087064743	1383087064431	312
1383087064753	1383087064442	311
1383087064763	1383087064452	311
1383087064773	1383087064462	311
1383087064783	1383087064472	311
1383087064793	1383087064482	311
1383087064803	1383087064492	311
1383087064813	1383087064501	312
1383087064823	1383087064512	311
1383087064833	1383087064522	311
1383087064843	1383087064531	312
1383087064853	1383087064542	311
1383087064863	1383087064552	311
1383087064873	1383087064561	312
1383087064883	1383087064571	312
1383087064893	1383087064581	312
1383087064903	1383087064591	312
1383087064913	1383087064601	312
1383087064923	1383087064612	311
1383087064933	1383087064621	312
1383087064943	1383087064631	312
1383087064953	1383087064641	312
1383087064963	1383087064651	312
1383087064973	1383087064661	312
1383087064983	1383087064671	312
1383087064993	1383087064695	298
1383087065003	1383087064696	307
1383087065013	1383087064700	313
1383087065023	1383087064711	312
1383087065033	1383087064721	312
1383087065043	1383087064732	311
1383087065053	1383087064741	312
1383087065063	1383087064751	312
1383087065073	1383087064761	312
1383087065083	1383087064771	312
1383087065093	1383087064781	312
1383087065103	1383087064791	312
1383087065113	1383087064801	312
1383087065123	1383087064811	312
1383087065133	1383087064821	312
1383087065143	1383087064831	312
1383087065153	1383087064841	312
1383087065163	1383087064851	312
1383087065173	1383087064861	312
1383087065183	1383087064871	312
1383087065193	1383087064881	312
1383087065203	1383087064891	312
1383087065213	1383087064901	312
1383087065223	1383087064911	312
1383087065233	1383087064921	312
1383087065243	1383087064931	312
1383087065253	1383087064941	312
1383087065263	1383087064951	312
1383087065273	1383087064961	312
1383087065283	1383087064971	312
1383087065293	1383087064981	312
1383087065303	1383087064991	312
1383087065313	1383087065001	312
1383087065323	1383087065011	312
1383087065333	1383087065021	312
1383087065343	1383087065031	312
1383087065353	1383087065064	289
1383087065363	1383087065066	297
1383087065373	1383087065068	305
1383087065383	1383087065072	311
1383087065393	1383087065081	312
1383087065403	1383087065091	312
1383087065413	1383087065102	311
1383087065423	1383087065111	312
1383087065433	1383087065122	311
1383087065443	1383087065131	312
1383087065453	1383087065141	312
1383087065463	1383087065151	312
1383087065473	1383087065161	312
1383087065483	1383087065171	312
1383087065493	1383087065182	311
1383087065503	1383087065192	311
1383087065513	1383087065201	312
1383087065523	1383087065212	311
1383087065533	1383087065224	309
1383087065543	1383087065231	312
1383087065553	1383087065241	312
1383087065563	1383087065251	312
