# gnuplot data for packet timing
# ts	local_ts	difference
1383126865355	1383126865374	19
1383126865366	1383126865385	19
1383126865375	1383126865402	27
1383126865387	1383126865408	21
1383126865395	1383126865430	35
1383126865405	1383126865433	28
1383126865415	1383126865457	42
1383126865425	1383126865473	48
1383126865452	1383126865482	30
1383126865462	1383126865484	22
1383126865472	1383126865505	33
1383126865489	1383126865507	18
1383126865492	1383126865532	40
1383126865502	1383126865534	32
1383126865513	1383126865553	40
1383126865522	1383126865555	33
1383126865536	1383126865571	35
1383126865542	1383126865574	32
1383126865552	1383126865581	29
1383126865562	1383126865583	21
1383126865572	1383126865662	90
1383126865597	1383126865664	67
1383126865609	1383126865674	65
1383126865619	1383126865677	58
1383126865629	1383126865687	58
1383126865639	1383126865689	50
1383126865649	1383126865708	59
1383126865659	1383126865711	52
1383126865669	1383126865719	50
1383126865679	1383126865721	42
1383126865693	1383126865730	37
1383126865699	1383126865733	34
1383126865709	1383126865753	44
1383126865719	1383126865762	43
1383126865738	1383126865772	34
1383126865750	1383126865774	24
1383126865760	1383126865783	23
1383126865770	1383126865786	16
1383126865784	1383126865803	19
1383126865790	1383126865811	21
1383126865800	1383126865821	21
1383126865810	1383126865826	16
1383126865831	1383126865861	30
1383126865842	1383126865877	35
1383126865853	1383126865896	43
1383126865863	1383126865916	53
1383126865879	1383126865920	41
1383126865883	1383126865924	41
1383126865893	1383126865939	46
1383126865903	1383126865944	41
1383126865913	1383126865961	48
1383126865936	1383126865987	51
1383126865946	1383126865992	46
1383126865956	1383126866011	55
1383126865973	1383126866033	60
1383126865976	1383126866037	61
1383126865986	1383126866042	56
1383126865996	1383126866062	66
1383126866006	1383126866065	59
1383126866030	1383126866084	54
1383126866040	1383126866092	52
1383126866050	1383126866111	61
1383126866068	1383126866133	65
1383126866070	1383126866138	68
1383126866080	1383126866143	63
1383126866090	1383126866178	88
1383126866100	1383126866182	82
1383126866114	1383126866187	73
1383126866120	1383126866227	107
1383126866130	1383126866231	101
1383126866140	1383126866250	110
1383126866162	1383126866274	112
1383126866174	1383126866279	105
1383126866185	1383126866295	110
1383126866194	1383126866322	128
1383126866204	1383126866326	122
1383126866214	1383126866345	131
1383126866224	1383126866367	143
1383126866234	1383126866372	138
1383126866256	1383126866377	121
1383126866269	1383126866400	131
1383126866278	1383126866411	133
1383126866289	1383126866421	132
1383126866305	1383126866441	136
1383126866309	1383126866446	137
1383126866319	1383126866463	144
1383126866329	1383126866470	141
1383126866339	1383126866485	146
1383126866362	1383126866509	147
1383126866372	1383126866514	142
1383126866382	1383126866518	136
1383126866398	1383126866555	157
1383126866402	1383126866561	159
1383126866412	1383126866578	166
1383126866422	1383126866588	166
1383126866432	1383126866603	171
1383126866445	1383126866612	167
1383126866452	1383126866633	181
1383126866462	1383126866637	175
1383126866472	1383126866654	182
1383126866492	1383126866675	183
1383126866504	1383126866679	175
1383126866514	1383126866702	188
1383126866525	1383126866706	181
1383126866540	1383126866724	184
1383126866544	1383126866754	210
1383126866554	1383126866771	217
1383126866564	1383126866778	214
1383126866574	1383126866798	224
1383126866600	1383126866801	201
1383126866609	1383126866820	211
1383126866620	1383126866829	209
1383126866637	1383126866841	204
1383126866639	1383126866848	209
1383126866650	1383126866866	216
1383126866659	1383126866871	212
1383126866670	1383126866875	205
1383126866684	1383126866892	208
1383126866690	1383126866896	206
1383126866700	1383126866915	215
1383126866710	1383126866940	230
1383126866735	1383126866946	211
1383126866748	1383126866961	213
1383126866757	1383126866986	229
1383126866767	1383126866992	225
1383126866781	1383126867011	230
1383126866787	1383126867037	250
1383126866797	1383126867056	259
1383126866807	1383126867060	253
1383126866828	1383126867085	257
1383126866840	1383126867088	248
1383126866850	1383126867106	256
1383126866860	1383126867114	254
1383126866874	1383126867118	244
1383126866880	1383126867134	254
1383126866890	1383126867153	263
1383126866900	1383126867157	257
1383126866922	1383126867178	256
1383126866934	1383126867182	248
1383126866944	1383126867201	257
1383126866954	1383126867211	257
1383126866970	1383126867224	254
1383126866974	1383126867245	271
1383126866984	1383126867255	271
1383126866994	1383126867258	264
1383126867004	1383126867276	272
1383126867031	1383126867293	262
1383126867041	1383126867297	256
1383126867051	1383126867321	270
1383126867070	1383126867325	255
1383126867082	1383126867341	259
1383126867092	1383126867351	259
1383126867102	1383126867355	253
1383126867116	1383126867370	254
1383126867122	1383126867387	265
1383126867132	1383126867391	259
1383126867142	1383126867400	258
1383126867162	1383126867406	244
1383126867174	1383126867419	245
1383126867184	1383126867439	255
1383126867194	1383126867444	250
1383126867208	1383126867463	255
1383126867214	1383126867481	267
1383126867224	1383126867485	261
1383126867235	1383126867494	259
1383126867256	1383126867499	243
1383126867268	1383126867515	247
1383126867278	1383126867535	257
1383126867289	1383126867539	250
1383126867306	1383126867556	250
1383126867308	1383126867562	254
1383126867318	1383126867576	258
1383126867328	1383126867586	258
1383126867338	1383126867592	254
1383126867352	1383126867607	255
1383126867358	1383126867628	270
1383126867368	1383126867633	265
1383126867378	1383126867652	274
1383126867398	1383126867673	275
1383126867410	1383126867677	267
1383126867420	1383126867698	278
1383126867430	1383126867701	271
1383126867446	1383126867720	274
1383126867450	1383126867741	291
1383126867460	1383126867744	284
1383126867470	1383126867764	294
1383126867492	1383126867773	281
1383126867504	1383126867777	273
1383126867514	1383126867797	283
1383126867524	1383126867819	295
1383126867538	1383126867823	285
1383126867544	1383126867844	300
1383126867554	1383126867859	305
1383126867564	1383126867875	311
1383126867587	1383126867909	322
1383126867599	1383126867915	316
1383126867609	1383126867921	312
1383126867619	1383126867935	316
1383126867633	1383126867941	308
1383126867639	1383126867959	320
1383126867649	1383126867964	315
1383126867659	1383126867969	310
1383126867669	1383126867988	319
1383126867691	1383126868009	318
1383126867701	1383126868014	313
1383126867711	1383126868031	320
1383126867726	1383126868038	312
1383126867731	1383126868056	325
1383126867741	1383126868060	319
1383126867751	1383126868077	326
1383126867761	1383126868082	321
1383126867787	1383126868101	314
1383126867797	1383126868107	310
1383126867807	1383126868113	306
1383126867824	1383126868133	309
1383126867827	1383126868151	324
1383126867836	1383126868155	319
1383126867847	1383126868160	313
1383126867857	1383126868175	318
1383126867873	1383126868194	321
1383126867877	1383126868201	324
1383126867887	1383126868206	319
1383126867897	1383126868241	344
1383126867907	1383126868248	341
1383126867930	1383126868254	324
1383126867940	1383126868261	321
1383126867950	1383126868290	340
1383126867966	1383126868295	329
1383126867970	1383126868301	331
1383126867980	1383126868307	327
1383126867990	1383126868325	335
1383126868000	1383126868343	343
1383126868015	1383126868348	333
1383126868020	1383126868354	334
1383126868031	1383126868360	329
1383126868040	1383126868387	347
1383126868062	1383126868393	331
1383126868074	1383126868398	324
1383126868084	1383126868403	319
1383126868094	1383126868409	315
1383126868113	1383126868414	301
1383126868126	1383126868436	310
1383126868136	1383126868440	304
1383126868146	1383126868447	301
1383126868160	1383126868453	293
1383126868166	1383126868459	293
1383126868176	1383126868463	287
1383126868187	1383126868484	297
1383126868213	1383126868489	276
1383126868225	1383126868497	272
1383126868235	1383126868501	266
1383126868245	1383126868508	263
1383126868263	1383126868512	249
1383126868265	1383126868532	267
1383126868275	1383126868540	265
1383126868285	1383126868546	261
1383126868295	1383126868553	258
1383126868312	1383126868557	245
1383126868315	1383126868576	261
1383126868325	1383126868584	259
1383126868335	1383126868590	255
1383126868345	1383126868596	251
1383126868365	1383126868602	237
1383126868377	1383126868606	229
1383126868388	1383126868624	236
1383126868398	1383126868636	238
1383126868416	1383126868640	224
1383126868429	1383126868646	217
1383126868438	1383126868651	213
1383126868449	1383126868669	220
1383126868467	1383126868675	208
1383126868479	1383126868681	202
1383126868489	1383126868687	198
1383126868499	1383126868692	193
1383126868516	1383126868698	182
1383126868519	1383126868714	195
1383126868530	1383126868719	189
1383126868539	1383126868727	188
1383126868549	1383126868733	184
1383126868576	1383126868739	163
1383126868587	1383126868746	159
1383126868596	1383126868765	169
1383126868606	1383126868772	166
1383126868616	1383126868779	163
1383126868626	1383126868784	158
1383126868636	1383126868790	154
1383126868646	1383126868795	149
1383126868656	1383126868822	166
1383126868667	1383126868828	161
1383126868677	1383126868833	156
1383126868686	1383126868838	152
1383126868696	1383126868843	147
1383126868709	1383126868862	153
1383126868716	1383126868867	151
1383126868726	1383126868874	148
1383126868736	1383126868880	144
1383126868746	1383126868886	140
1383126868756	1383126868903	147
1383126868767	1383126868908	141
1383126868776	1383126868915	139
1383126868786	1383126868921	135
1383126868802	1383126868926	124
1383126868806	1383126868932	126
1383126868817	1383126868936	119
1383126868826	1383126868955	129
1383126868836	1383126868961	125
1383126868848	1383126868965	117
1383126868856	1383126868971	115
1383126868866	1383126868975	109
1383126868876	1383126868997	121
1383126868886	1383126869002	116
1383126868896	1383126869006	110
1383126868906	1383126869015	109
1383126868916	1383126869017	101
1383126868926	1383126869028	102
1383126868936	1383126869030	94
1383126868946	1383126869067	121
1383126868956	1383126869072	116
1383126868966	1383126869076	110
1383126868976	1383126869094	118
1383126868988	1383126869099	111
1383126868996	1383126869110	114
1383126869006	1383126869121	115
1383126869016	1383126869122	106
1383126869026	1383126869145	119
1383126869046	1383126869150	104
1383126869058	1383126869156	98
1383126869068	1383126869166	98
1383126869078	1383126869171	93
1383126869092	1383126869190	98
