# gnuplot data for packet timing
# ts	local_ts	difference
1383126865847	1383126865880	33
1383126865874	1383126865886	12
1383126865883	1383126865905	22
1383126865893	1383126865910	17
1383126865912	1383126865913	1
1383126865925	1383126865929	4
1383126865935	1383126865932	3
1383126865945	1383126865959	14
1383126865961	1383126865979	18
1383126865966	1383126865982	16
1383126865975	1383126866005	30
1383126865985	1383126866024	39
1383126865995	1383126866026	31
1383126866010	1383126866036	26
1383126866015	1383126866048	33
1383126866025	1383126866055	30
1383126866035	1383126866079	44
1383126866057	1383126866084	27
1383126866071	1383126866115	44
1383126866080	1383126866122	42
1383126866091	1383126866126	35
1383126866119	1383126866162	43
1383126866130	1383126866168	38
1383126866139	1383126866170	31
1383126866155	1383126866211	56
1383126866160	1383126866218	58
1383126866169	1383126866223	54
1383126866180	1383126866257	77
1383126866189	1383126866264	75
1383126866213	1383126866267	54
1383126866223	1383126866305	82
1383126866233	1383126866312	79
1383126866249	1383126866317	68
1383126866253	1383126866339	86
1383126866263	1383126866357	94
1383126866273	1383126866360	87
1383126866283	1383126866384	101
1383126866308	1383126866401	93
1383126866318	1383126866405	87
1383126866328	1383126866417	89
1383126866343	1383126866427	84
1383126866348	1383126866445	97
1383126866358	1383126866457	99
1383126866368	1383126866460	92
1383126866378	1383126866479	101
1383126866402	1383126866499	97
1383126866412	1383126866502	90
1383126866422	1383126866527	105
1383126866436	1383126866547	111
1383126866442	1383126866551	109
1383126866452	1383126866572	120
1383126866462	1383126866592	130
1383126866483	1383126866595	112
1383126866497	1383126866617	120
1383126866507	1383126866621	114
1383126866517	1383126866626	109
1383126866531	1383126866648	117
1383126866537	1383126866652	115
1383126866547	1383126866686	139
1383126866557	1383126866694	137
1383126866577	1383126866698	121
1383126866590	1383126866735	145
1383126866600	1383126866759	159
1383126866610	1383126866762	152
1383126866624	1383126866783	159
1383126866630	1383126866789	159
1383126866640	1383126866793	153
1383126866650	1383126866814	164
1383126866673	1383126866830	157
1383126866687	1383126866833	146
1383126866697	1383126866843	146
1383126866707	1383126866849	142
1383126866721	1383126866859	138
1383126866727	1383126866877	150
1383126866737	1383126866883	146
1383126866748	1383126866887	139
1383126866770	1383126866922	152
1383126866783	1383126866928	145
1383126866793	1383126866933	140
1383126866803	1383126866956	153
1383126866817	1383126866977	160
1383126866823	1383126866981	158
1383126866833	1383126867020	187
1383126866843	1383126867027	184
1383126866864	1383126867032	168
1383126866878	1383126867069	191
1383126866888	1383126867076	188
1383126866898	1383126867079	181
1383126866912	1383126867099	187
1383126866918	1383126867103	185
1383126866928	1383126867118	190
1383126866938	1383126867131	193
1383126866959	1383126867137	178
1383126866974	1383126867162	188
1383126866983	1383126867169	186
1383126866993	1383126867171	178
1383126867008	1383126867195	187
1383126867013	1383126867213	200
1383126867023	1383126867217	194
1383126867033	1383126867240	207
1383126867056	1383126867258	202
1383126867070	1383126867260	190
1383126867080	1383126867269	189
1383126867090	1383126867274	184
1383126867103	1383126867305	202
1383126867110	1383126867314	204
1383126867120	1383126867318	198
1383126867130	1383126867335	205
1383126867150	1383126867338	188
1383126867163	1383126867354	191
1383126867173	1383126867365	192
1383126867183	1383126867369	186
1383126867198	1383126867384	186
1383126867203	1383126867400	197
1383126867213	1383126867402	189
1383126867223	1383126867414	191
1383126867245	1383126867426	181
1383126867259	1383126867447	188
1383126867269	1383126867458	189
1383126867279	1383126867462	183
1383126867304	1383126867478	174
1383126867314	1383126867494	180
1383126867324	1383126867498	174
1383126867340	1383126867520	180
1383126867344	1383126867522	178
1383126867354	1383126867539	185
1383126867364	1383126867548	184
1383126867374	1383126867551	177
1383126867399	1383126867570	171
1383126867408	1383126867589	181
1383126867419	1383126867592	173
1383126867434	1383126867601	167
1383126867438	1383126867614	176
1383126867448	1383126867634	186
1383126867458	1383126867646	188
1383126867468	1383126867650	182
1383126867493	1383126867681	188
1383126867503	1383126867687	184
1383126867513	1383126867691	178
1383126867528	1383126867714	186
1383126867533	1383126867733	200
1383126867543	1383126867736	193
1383126867553	1383126867758	205
1383126867574	1383126867779	205
1383126867587	1383126867781	194
1383126867597	1383126867805	208
1383126867607	1383126867824	217
1383126867623	1383126867829	206
1383126867627	1383126867856	229
1383126867637	1383126867877	240
1383126867648	1383126867886	238
1383126867657	1383126867902	245
1383126867683	1383126867920	237
