# gnuplot data for packet timing
# ts	local_ts	difference
1383087064542	1383087064860	318
1383087064552	1383087064869	317
1383087064562	1383087064879	317
1383087064572	1383087064889	317
1383087064582	1383087064899	317
1383087064592	1383087064909	317
1383087064602	1383087064919	317
1383087064612	1383087064929	317
1383087064622	1383087064939	317
1383087064632	1383087064949	317
1383087064642	1383087064959	317
1383087064652	1383087064969	317
1383087064662	1383087064979	317
1383087064672	1383087065009	337
1383087064682	1383087065010	328
1383087064692	1383087065012	320
1383087064702	1383087065019	317
1383087064712	1383087065029	317
1383087064722	1383087065039	317
1383087064732	1383087065049	317
1383087064742	1383087065059	317
1383087064752	1383087065069	317
1383087064762	1383087065079	317
1383087064772	1383087065089	317
1383087064782	1383087065099	317
1383087064792	1383087065110	318
1383087064802	1383087065119	317
1383087064812	1383087065129	317
1383087064822	1383087065139	317
1383087064832	1383087065149	317
1383087064842	1383087065159	317
1383087064852	1383087065169	317
1383087064862	1383087065179	317
1383087064872	1383087065189	317
1383087064882	1383087065199	317
1383087064892	1383087065209	317
1383087064902	1383087065219	317
1383087064912	1383087065228	316
1383087064922	1383087065239	317
1383087064932	1383087065248	316
1383087064942	1383087065259	317
1383087064952	1383087065269	317
1383087064962	1383087065279	317
1383087064972	1383087065289	317
1383087064982	1383087065299	317
1383087064992	1383087065310	318
1383087065002	1383087065319	317
1383087065012	1383087065329	317
1383087065022	1383087065339	317
1383087065032	1383087065377	345
1383087065042	1383087065378	336
1383087065052	1383087065381	329
1383087065062	1383087065382	320
1383087065072	1383087065389	317
1383087065082	1383087065400	318
1383087065092	1383087065410	318
1383087065102	1383087065420	318
1383087065112	1383087065430	318
1383087065122	1383087065439	317
1383087065132	1383087065450	318
1383087065142	1383087065460	318
1383087065152	1383087065469	317
1383087065162	1383087065479	317
1383087065172	1383087065490	318
1383087065182	1383087065499	317
1383087065192	1383087065509	317
1383087065202	1383087065520	318
1383087065212	1383087065530	318
1383087065222	1383087065541	319
1383087065232	1383087065549	317
1383087065242	1383087065559	317
1383087065252	1383087065569	317
1383087065262	1383087065580	318
